ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
USER	VerMensajesTestNegativo	148	START	1590958751587	1590958751587
REQUEST	148		Welcome	1590958751587	1590958751589	OK	 
USER	VerMensajeTestPositivo	67	START	1590958751609	1590958751609
REQUEST	67		Welcome	1590958751609	1590958751611	OK	 
USER	VerMensajesTestNegativo	149	START	1590958751620	1590958751620
REQUEST	149		Welcome	1590958751620	1590958751622	OK	 
USER	VerMensajeTestPositivo	68	START	1590958751631	1590958751631
REQUEST	68		Welcome	1590958751631	1590958751633	OK	 
USER	VerMensajesTestNegativo	150	START	1590958751641	1590958751641
REQUEST	150		Welcome	1590958751642	1590958751645	OK	 
USER	VerMensajeTestPositivo	69	START	1590958751656	1590958751656
REQUEST	69		Welcome	1590958751657	1590958751659	OK	 
USER	VerMensajesTestNegativo	151	START	1590958751666	1590958751666
REQUEST	151		Welcome	1590958751667	1590958751669	OK	 
USER	VerMensajeTestPositivo	70	START	1590958751677	1590958751677
REQUEST	70		Welcome	1590958751677	1590958751680	OK	 
USER	VerMensajesTestNegativo	152	START	1590958751687	1590958751687
REQUEST	152		Welcome	1590958751688	1590958751690	OK	 
USER	VerMensajeTestPositivo	71	START	1590958751709	1590958751709
REQUEST	71		Welcome	1590958751709	1590958751712	OK	 
USER	VerMensajesTestNegativo	153	START	1590958751720	1590958751720
REQUEST	153		Welcome	1590958751720	1590958751725	OK	 
USER	VerMensajeTestPositivo	72	START	1590958751730	1590958751730
REQUEST	72		Welcome	1590958751731	1590958751735	OK	 
USER	VerMensajesTestNegativo	154	START	1590958751741	1590958751741
REQUEST	154		Welcome	1590958751742	1590958751746	OK	 
USER	VerMensajeTestPositivo	73	START	1590958751756	1590958751756
REQUEST	73		Welcome	1590958751757	1590958751761	OK	 
USER	VerMensajesTestNegativo	155	START	1590958751777	1590958751777
USER	VerMensajeTestPositivo	74	START	1590958751777	1590958751777
REQUEST	155		Welcome	1590958751777	1590958751779	OK	 
REQUEST	74		Welcome	1590958751777	1590958751779	OK	 
USER	VerMensajesTestNegativo	156	START	1590958751786	1590958751786
REQUEST	156		Welcome	1590958751787	1590958751793	OK	 
USER	VerMensajeTestPositivo	75	START	1590958751808	1590958751808
REQUEST	75		Welcome	1590958751808	1590958751811	OK	 
USER	VerMensajesTestNegativo	157	START	1590958751818	1590958751818
REQUEST	157		Welcome	1590958751818	1590958751821	OK	 
USER	VerMensajeTestPositivo	76	START	1590958751828	1590958751828
REQUEST	76		Welcome	1590958751829	1590958751831	OK	 
USER	VerMensajesTestNegativo	158	START	1590958751839	1590958751839
REQUEST	158		Welcome	1590958751840	1590958751842	OK	 
USER	VerMensajeTestPositivo	77	START	1590958751861	1590958751861
