ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183771307	 	3.3.1
USER	AceptarAnuncioTestPositivo	130	START	1590183776479	1590183776479
REQUEST	130		Welcome	1590183776480	1590183776484	OK	 
REQUEST	150		Welcome	1590183776479	1590183776484	OK	 
USER	AceptarAnuncioTestNegativo	151	START	1590183776519	1590183776519
REQUEST	151		Welcome	1590183776520	1590183776525	OK	 
USER	AceptarAnuncioTestPositivo	131	START	1590183776539	1590183776539
REQUEST	131		Welcome	1590183776540	1590183776544	OK	 
USER	AceptarAnuncioTestNegativo	152	START	1590183776578	1590183776578
USER	AceptarAnuncioTestPositivo	132	START	1590183776579	1590183776579
REQUEST	152		Welcome	1590183776578	1590183776584	OK	 
REQUEST	132		Welcome	1590183776579	1590183776584	OK	 
USER	AceptarAnuncioTestNegativo	153	START	1590183776624	1590183776624
REQUEST	153		Welcome	1590183776625	1590183776629	OK	 
USER	AceptarAnuncioTestPositivo	133	START	1590183776629	1590183776629
REQUEST	133		Welcome	1590183776629	1590183776633	OK	 
USER	AceptarAnuncioTestNegativo	154	START	1590183776681	1590183776681
USER	AceptarAnuncioTestPositivo	134	START	1590183776681	1590183776681
REQUEST	134		Welcome	1590183776682	1590183776691	OK	 
REQUEST	154		Welcome	1590183776682	1590183776691	OK	 
USER	AceptarAnuncioTestNegativo	155	START	1590183776721	1590183776721
REQUEST	155		Welcome	1590183776722	1590183776726	OK	 
USER	AceptarAnuncioTestPositivo	135	START	1590183776741	1590183776741
REQUEST	135		Welcome	1590183776742	1590183776750	OK	 
USER	AceptarAnuncioTestPositivo	136	START	1590183776779	1590183776779
USER	AceptarAnuncioTestNegativo	156	START	1590183776779	1590183776779
REQUEST	156		Welcome	1590183776780	1590183776785	OK	 
REQUEST	136		Welcome	1590183776780	1590183776785	OK	 
USER	AceptarAnuncioTestNegativo	157	START	1590183776819	1590183776819
REQUEST	157		Welcome	1590183776820	1590183776828	OK	 
USER	AceptarAnuncioTestPositivo	137	START	1590183776840	1590183776840
REQUEST	137		Welcome	1590183776841	1590183776848	OK	 
USER	AceptarAnuncioTestPositivo	138	START	1590183776879	1590183776879
USER	AceptarAnuncioTestNegativo	158	START	1590183776879	1590183776879
REQUEST	158		Welcome	1590183776880	1590183776890	OK	 
REQUEST	138		Welcome	1590183776880	1590183776890	OK	 
USER	AceptarAnuncioTestNegativo	159	START	1590183776921	1590183776921
REQUEST	159		Welcome	1590183776922	1590183776929	OK	 
USER	AceptarAnuncioTestPositivo	139	START	1590183776941	1590183776941
REQUEST	139		Welcome	1590183776942	1590183776950	OK	 
USER	AceptarAnuncioTestNegativo	160	START	1590183776980	1590183776980
USER	AceptarAnuncioTestPositivo	140	START	1590183776980	1590183776980
REQUEST	160		Welcome	1590183776981	1590183776992	OK	 
REQUEST	140		Welcome	1590183776981	1590183776992	OK	 
USER	AceptarAnuncioTestNegativo	161	START	1590183777023	1590183777023
REQUEST	161		Welcome	1590183777024	1590183777029	OK	 
USER	AceptarAnuncioTestPositivo	141	START	1590183777043	1590183777043
REQUEST	141		Welcome	1590183777045	1590183777051	OK	 
USER	AceptarAnuncioTestNegativo	162	START	1590183777069	1590183777069
REQUEST	162		Welcome	1590183777069	1590183777074	OK	 
USER	AceptarAnuncioTestPositivo	142	START	1590183777088	1590183777088
REQUEST	142		Welcome	1590183777090	1590183777099	OK	 
USER	AceptarAnuncioTestNegativo	163	START	1590183777126	1590183777126
USER	AceptarAnuncioTestPositivo	143	START	1590183777129	1590183777129
REQUEST	163		Welcome	1590183777127	1590183777136	OK	 
REQUEST	143		Welcome	1590183777130	1590183777139	OK	 
USER	AceptarAnuncioTestNegativo	164	START	1590183777181	1590183777181
USER	AceptarAnuncioTestPositivo	144	START	1590183777181	1590183777181
REQUEST	164		Welcome	1590183777181	1590183777188	OK	 
REQUEST	144		Welcome	1590183777181	1590183777188	OK	 
USER	AceptarAnuncioTestNegativo	184	START	1590183777255	1590183777255
USER	AceptarAnuncioTestPositivo	165	START	1590183777255	1590183777255
REQUEST	184		Welcome	1590183777257	1590183777266	OK	 
REQUEST	165		Welcome	1590183777257	1590183777266	OK	 
USER	AceptarAnuncioTestNegativo	185	START	1590183777302	1590183777302
USER	AceptarAnuncioTestPositivo	166	START	1590183777302	1590183777302
REQUEST	185		Welcome	1590183777303	1590183777312	OK	 
REQUEST	166		Welcome	1590183777303	1590183777312	OK	 
USER	AceptarAnuncioTestPositivo	167	START	1590183777358	1590183777358
USER	AceptarAnuncioTestNegativo	186	START	1590183777358	1590183777358
REQUEST	167		Welcome	1590183777358	1590183777366	OK	 
REQUEST	186		Welcome	1590183777358	1590183777366	OK	 
USER	AceptarAnuncioTestPositivo	168	START	1590183777400	1590183777400
USER	AceptarAnuncioTestNegativo	187	START	1590183777400	1590183777400
REQUEST	168		Welcome	1590183777401	1590183777407	OK	 
REQUEST	187		Welcome	1590183777401	1590183777407	OK	 
USER	AceptarAnuncioTestPositivo	169	START	1590183777459	1590183777459
USER	AceptarAnuncioTestNegativo	188	START	1590183777459	1590183777459
REQUEST	188		Welcome	1590183777461	1590183777470	OK	 
REQUEST	169		Welcome	1590183777461	1590183777470	OK	 
USER	AceptarAnuncioTestPositivo	170	START	1590183777499	1590183777499
USER	AceptarAnuncioTestNegativo	189	START	1590183777499	1590183777499
REQUEST	170		Welcome	1590183777499	1590183777506	OK	 
REQUEST	189		Welcome	1590183777499	1590183777506	OK	 
USER	AceptarAnuncioTestNegativo	190	START	1590183777557	1590183777557
USER	AceptarAnuncioTestPositivo	171	START	1590183777556	1590183777556
REQUEST	171		Welcome	1590183777558	1590183777563	OK	 
REQUEST	190		Welcome	1590183777558	1590183777563	OK	 
USER	AceptarAnuncioTestNegativo	191	START	1590183777601	1590183777601
USER	AceptarAnuncioTestPositivo	172	START	1590183777601	1590183777601
REQUEST	172		Welcome	1590183777603	1590183777610	OK	 
REQUEST	191		Welcome	1590183777603	1590183777610	OK	 
USER	AceptarAnuncioTestPositivo	173	START	1590183777649	1590183777649
USER	AceptarAnuncioTestNegativo	192	START	1590183777649	1590183777649
REQUEST	173		Welcome	1590183777650	1590183777657	OK	 
REQUEST	192		Welcome	1590183777650	1590183777657	OK	 
USER	AceptarAnuncioTestPositivo	174	START	1590183777702	1590183777702
USER	AceptarAnuncioTestNegativo	193	START	1590183777702	1590183777702
REQUEST	193		Welcome	1590183777703	1590183777713	OK	 
REQUEST	174		Welcome	1590183777703	1590183777714	OK	 
USER	AceptarAnuncioTestPositivo	175	START	1590183777760	1590183777760
USER	AceptarAnuncioTestNegativo	194	START	1590183777760	1590183777760
REQUEST	194		Welcome	1590183777761	1590183777771	OK	 
REQUEST	175		Welcome	1590183777761	1590183777771	OK	 
USER	AceptarAnuncioTestNegativo	195	START	1590183777811	1590183777811
USER	AceptarAnuncioTestPositivo	176	START	1590183777811	1590183777811
REQUEST	195		Welcome	1590183777812	1590183777816	OK	 
REQUEST	176		Welcome	1590183777812	1590183777817	OK	 
USER	AceptarAnuncioTestPositivo	177	START	1590183777849	1590183777849
USER	AceptarAnuncioTestNegativo	196	START	1590183777849	1590183777849
REQUEST	177		Welcome	1590183777849	1590183777854	OK	 
REQUEST	196		Welcome	1590183777849	1590183777854	OK	 
USER	AceptarAnuncioTestNegativo	197	START	1590183777912	1590183777912
USER	AceptarAnuncioTestPositivo	178	START	1590183777912	1590183777912
REQUEST	197		Welcome	1590183777913	1590183777918	OK	 
REQUEST	178		Welcome	1590183777913	1590183777918	OK	 
USER	AceptarAnuncioTestPositivo	179	START	1590183777949	1590183777949
USER	AceptarAnuncioTestNegativo	198	START	1590183777949	1590183777949
REQUEST	179		Welcome	1590183777949	1590183777954	OK	 
REQUEST	198		Welcome	1590183777949	1590183777956	OK	 
USER	AceptarAnuncioTestPositivo	180	START	1590183778000	1590183778000
REQUEST	180		Welcome	1590183778001	1590183778009	OK	 
USER	AceptarAnuncioTestPositivo	181	START	1590183778060	1590183778060
USER	AceptarAnuncioTestNegativo	200	START	1590183778060	1590183778060
REQUEST	181		Welcome	1590183778060	1590183778067	OK	 
REQUEST	200		Welcome	1590183778060	1590183778067	OK	 
USER	AceptarAnuncioTestNegativo	199	START	1590183778000	1590183778000
REQUEST	199		Welcome	1590183778071	1590183778089	OK	 
USER	AceptarAnuncioTestPositivo	182	START	1590183778099	1590183778099
USER	AceptarAnuncioTestNegativo	201	START	1590183778099	1590183778099
REQUEST	182		Welcome	1590183778099	1590183778110	OK	 
REQUEST	201		Welcome	1590183778103	1590183778116	OK	 
USER	AceptarAnuncioTestNegativo	202	START	1590183778151	1590183778151
USER	AceptarAnuncioTestPositivo	183	START	1590183778151	1590183778151
REQUEST	202		Welcome	1590183778152	1590183778156	OK	 
REQUEST	183		Welcome	1590183778152	1590183778156	OK	 
USER	AceptarAnuncioTestNegativo	224	START	1590183778174	1590183778174
USER	AceptarAnuncioTestPositivo	203	START	1590183778174	1590183778174
REQUEST	203		Welcome	1590183778174	1590183778185	OK	 
REQUEST	224		Welcome	1590183778174	1590183778186	OK	 
USER	AceptarAnuncioTestPositivo	204	START	1590183778268	1590183778268
USER	AceptarAnuncioTestNegativo	225	START	1590183778268	1590183778268
