ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851688957	 	3.3.1
USER	VerDashboardPositivo	135	START	1590851693504	1590851693504
REQUEST	155		Home	1590851693504	1590851693508	OK	 
REQUEST	135		Home	1590851693504	1590851693508	OK	 
USER	VerDashboardNegativo	156	START	1590851693555	1590851693555
USER	VerDashboardPositivo	136	START	1590851693555	1590851693555
REQUEST	156		Home	1590851693556	1590851693560	OK	 
REQUEST	136		Home	1590851693556	1590851693560	OK	 
USER	VerDashboardNegativo	157	START	1590851693600	1590851693600
USER	VerDashboardPositivo	137	START	1590851693600	1590851693600
REQUEST	137		Home	1590851693600	1590851693603	OK	 
REQUEST	157		Home	1590851693600	1590851693603	OK	 
USER	VerDashboardPositivo	138	START	1590851693652	1590851693652
USER	VerDashboardNegativo	158	START	1590851693652	1590851693652
REQUEST	138		Home	1590851693652	1590851693655	OK	 
REQUEST	158		Home	1590851693652	1590851693655	OK	 
USER	VerDashboardPositivo	139	START	1590851693703	1590851693703
USER	VerDashboardNegativo	159	START	1590851693703	1590851693703
REQUEST	159		Home	1590851693703	1590851693706	OK	 
REQUEST	139		Home	1590851693703	1590851693706	OK	 
USER	VerDashboardPositivo	140	START	1590851693754	1590851693754
USER	VerDashboardNegativo	160	START	1590851693754	1590851693754
REQUEST	160		Home	1590851693755	1590851693759	OK	 
REQUEST	140		Home	1590851693755	1590851693760	OK	 
USER	VerDashboardPositivo	141	START	1590851693801	1590851693801
USER	VerDashboardNegativo	161	START	1590851693801	1590851693801
REQUEST	141		Home	1590851693802	1590851693806	OK	 
REQUEST	161		Home	1590851693802	1590851693806	OK	 
USER	VerDashboardPositivo	142	START	1590851693850	1590851693850
USER	VerDashboardNegativo	162	START	1590851693850	1590851693850
REQUEST	162		Home	1590851693850	1590851693855	OK	 
REQUEST	142		Home	1590851693850	1590851693855	OK	 
USER	VerDashboardPositivo	163	START	1590851693904	1590851693904
USER	VerDashboardNegativo	183	START	1590851693904	1590851693904
REQUEST	183		Home	1590851693905	1590851693915	OK	 
REQUEST	163		Home	1590851693905	1590851693915	OK	 
USER	VerDashboardPositivo	164	START	1590851693952	1590851693952
USER	VerDashboardNegativo	184	START	1590851693952	1590851693952
REQUEST	164		Home	1590851693952	1590851693955	OK	 
REQUEST	184		Home	1590851693952	1590851693955	OK	 
USER	VerDashboardPositivo	165	START	1590851694000	1590851694000
USER	VerDashboardNegativo	185	START	1590851694000	1590851694000
REQUEST	165		Home	1590851694000	1590851694004	OK	 
REQUEST	185		Home	1590851694000	1590851694004	OK	 
USER	VerDashboardPositivo	166	START	1590851694055	1590851694055
USER	VerDashboardNegativo	186	START	1590851694055	1590851694055
REQUEST	166		Home	1590851694055	1590851694060	OK	 
REQUEST	186		Home	1590851694055	1590851694060	OK	 
USER	VerDashboardPositivo	167	START	1590851694101	1590851694101
USER	VerDashboardNegativo	187	START	1590851694101	1590851694101
REQUEST	187		Home	1590851694101	1590851694104	OK	 
REQUEST	167		Home	1590851694101	1590851694104	OK	 
USER	VerDashboardPositivo	168	START	1590851694153	1590851694153
USER	VerDashboardNegativo	188	START	1590851694153	1590851694153
REQUEST	168		Home	1590851694154	1590851694157	OK	 
REQUEST	188		Home	1590851694154	1590851694157	OK	 
USER	VerDashboardNegativo	189	START	1590851694200	1590851694200
USER	VerDashboardPositivo	169	START	1590851694200	1590851694200
REQUEST	189		Home	1590851694200	1590851694204	OK	 
REQUEST	169		Home	1590851694200	1590851694204	OK	 
USER	VerDashboardPositivo	170	START	1590851694252	1590851694252
USER	VerDashboardNegativo	190	START	1590851694252	1590851694252
