ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearValoraciones	crearvaloraciones	1590567675602	 	3.3.1
REQUEST	445		Home	1590567676503	1590567676732	OK	 
USER	CrearValoracion	87	START	1590567676732	1590567676732
USER	CrearValoracion	86	START	1590567676732	1590567676732
REQUEST	479		Home	1590567676684	1590567676733	OK	 
USER	AceptarLocal	490	START	1590567676733	1590567676733
USER	AceptarLocal	491	START	1590567676733	1590567676733
REQUEST	480		Home	1590567676687	1590567676737	OK	 
REQUEST	491		Home	1590567676734	1590567676739	OK	 
REQUEST	462		Home	1590567676598	1590567676739	OK	 
REQUEST	40		Home	1590567676503	1590567676739	OK	 
REQUEST	483		Home	1590567676693	1590567676741	OK	 
REQUEST	459		Home	1590567676594	1590567676741	OK	 
REQUEST	55		Home	1590567676594	1590567676742	OK	 
REQUEST	476		Home	1590567676681	1590567676744	OK	 
REQUEST	482		Home	1590567676692	1590567676745	OK	 
REQUEST	70		Home	1590567676654	1590567676746	OK	 
REQUEST	83		Home	1590567676721	1590567676748	OK	 
REQUEST	463		Home	1590567676597	1590567676748	OK	 
REQUEST	77		Home	1590567676687	1590567676749	OK	 
REQUEST	80		Home	1590567676721	1590567676750	OK	 
REQUEST	472		Home	1590567676657	1590567676753	OK	 
REQUEST	87		Home	1590567676733	1590567676753	OK	 
REQUEST	81		Home	1590567676723	1590567676755	OK	 
REQUEST	485		Home	1590567676721	1590567676755	OK	 
REQUEST	488		Home	1590567676726	1590567676755	OK	 
REQUEST	487		Home	1590567676723	1590567676756	OK	 
REQUEST	75		Home	1590567676682	1590567676758	OK	 
REQUEST	79		Home	1590567676692	1590567676758	OK	 
REQUEST	58		Home	1590567676596	1590567676760	OK	 
REQUEST	478		Home	1590567676686	1590567676761	OK	 
REQUEST	490		Home	1590567676734	1590567676762	OK	 
REQUEST	461		Home	1590567676595	1590567676764	OK	 
REQUEST	78		Home	1590567676693	1590567676764	OK	 
REQUEST	484		Home	1590567676723	1590567676767	OK	 
USER	CrearValoracion	88	START	1590567676765	1590567676765
REQUEST	86		Home	1590567676733	1590567676768	OK	 
USER	CrearValoracion	89	START	1590567676769	1590567676769
REQUEST	486		Home	1590567676722	1590567676770	OK	 
USER	AceptarLocal	492	START	1590567676770	1590567676770
REQUEST	489		Home	1590567676726	1590567676772	OK	 
USER	AceptarLocal	493	START	1590567676772	1590567676772
USER	CrearValoracion	90	START	1590567676772	1590567676772
USER	CrearValoracion	91	START	1590567676773	1590567676773
USER	AceptarLocal	494	START	1590567676774	1590567676774
USER	AceptarLocal	495	START	1590567676775	1590567676775
REQUEST	492		Home	1590567676771	1590567676778	OK	 
USER	CrearValoracion	93	START	1590567676778	1590567676778
USER	CrearValoracion	92	START	1590567676778	1590567676778
REQUEST	494		Home	1590567676775	1590567676780	OK	 
USER	AceptarLocal	496	START	1590567676781	1590567676781
REQUEST	82		Home	1590567676721	1590567676783	OK	 
REQUEST	84		Home	1590567676725	1590567676783	OK	 
USER	AceptarLocal	497	START	1590567676784	1590567676784
USER	CrearValoracion	94	START	1590567676784	1590567676784
USER	CrearValoracion	95	START	1590567676785	1590567676785
USER	AceptarLocal	498	START	1590567676787	1590567676787
REQUEST	496		Home	1590567676782	1590567676787	OK	 
USER	AceptarLocal	499	START	1590567676788	1590567676788
USER	CrearValoracion	96	START	1590567676788	1590567676788
USER	CrearValoracion	97	START	1590567676789	1590567676789
USER	AceptarLocal	501	START	1590567676790	1590567676790
USER	AceptarLocal	500	START	1590567676790	1590567676790
USER	AceptarLocal	502	START	1590567676793	1590567676793
USER	CrearValoracion	98	START	1590567676793	1590567676793
USER	CrearValoracion	99	START	1590567676793	1590567676793
USER	AceptarLocal	503	START	1590567676794	1590567676794
REQUEST	493		Home	1590567676772	1590567676795	OK	 
REQUEST	95		Home	1590567676786	1590567676799	OK	 
REQUEST	92		Home	1590567676778	1590567676799	OK	 
REQUEST	90		Home	1590567676772	1590567676799	OK	 
REQUEST	94		Home	1590567676785	1590567676799	OK	 
REQUEST	91		Home	1590567676773	1590567676799	OK	 
REQUEST	93		Home	1590567676778	1590567676801	OK	 
REQUEST	497		Home	1590567676785	1590567676802	OK	 
REQUEST	495		Home	1590567676775	1590567676803	OK	 
REQUEST	502		Home	1590567676793	1590567676805	OK	 
REQUEST	501		Home	1590567676791	1590567676805	OK	 
REQUEST	88		Home	1590567676766	1590567676808	OK	 
REQUEST	96		Home	1590567676789	1590567676808	OK	 
REQUEST	503		Home	1590567676795	1590567676808	OK	 
REQUEST	98		Home	1590567676793	1590567676808	OK	 
REQUEST	99		Home	1590567676793	1590567676809	OK	 
REQUEST	500		Home	1590567676791	1590567676809	OK	 
REQUEST	89		Home	1590567676770	1590567676809	OK	 
REQUEST	498		Home	1590567676787	1590567676811	OK	 
REQUEST	499		Home	1590567676789	1590567676811	OK	 
REQUEST	97		Home	1590567676790	1590567676812	OK	 
USER	CrearValoracion	102	START	1590567676818	1590567676818
USER	CrearValoracion	101	START	1590567676818	1590567676818
USER	CrearValoracion	100	START	1590567676818	1590567676818
USER	CrearValoracion	103	START	1590567676819	1590567676819
USER	AceptarLocal	506	START	1590567676819	1590567676819
USER	AceptarLocal	505	START	1590567676818	1590567676818
USER	AceptarLocal	507	START	1590567676819	1590567676819
USER	AceptarLocal	504	START	1590567676818	1590567676818
USER	CrearValoracion	105	START	1590567676821	1590567676821
USER	AceptarLocal	508	START	1590567676821	1590567676821
USER	CrearValoracion	104	START	1590567676821	1590567676821
USER	AceptarLocal	509	START	1590567676822	1590567676822
REQUEST	103		Home	1590567676819	1590567676824	OK	 
REQUEST	505		Home	1590567676819	1590567676825	OK	 
REQUEST	104		Home	1590567676822	1590567676825	OK	 
REQUEST	506		Home	1590567676819	1590567676826	OK	 
REQUEST	508		Home	1590567676822	1590567676826	OK	 
REQUEST	504		Home	1590567676819	1590567676826	OK	 
REQUEST	101		Home	1590567676819	1590567676828	OK	 
REQUEST	509		Home	1590567676823	1590567676828	OK	 
REQUEST	507		Home	1590567676820	1590567676828	OK	 
REQUEST	102		Home	1590567676819	1590567676828	OK	 
REQUEST	100		Home	1590567676819	1590567676828	OK	 
REQUEST	105		Home	1590567676822	1590567676828	OK	 
USER	AceptarLocal	510	START	1590567676838	1590567676838
USER	AceptarLocal	511	START	1590567676838	1590567676838
USER	CrearValoracion	107	START	1590567676838	1590567676838
USER	CrearValoracion	106	START	1590567676838	1590567676838
USER	AceptarLocal	512	START	1590567676841	1590567676841
USER	CrearValoracion	109	START	1590567676841	1590567676841
REQUEST	106		Home	1590567676839	1590567676843	OK	 
USER	CrearValoracion	108	START	1590567676841	1590567676841
USER	AceptarLocal	513	START	1590567676841	1590567676841
REQUEST	107		Home	1590567676839	1590567676843	OK	 
REQUEST	511		Home	1590567676839	1590567676845	OK	 
REQUEST	510		Home	1590567676839	1590567676845	OK	 
REQUEST	513		Home	1590567676842	1590567676846	OK	 
REQUEST	512		Home	1590567676842	1590567676846	OK	 
REQUEST	108		Home	1590567676842	1590567676846	OK	 
REQUEST	109		Home	1590567676842	1590567676847	OK	 
USER	CrearValoracion	111	START	1590567676864	1590567676864
USER	CrearValoracion	110	START	1590567676864	1590567676864
USER	AceptarLocal	516	START	1590567676864	1590567676864
USER	AceptarLocal	514	START	1590567676864	1590567676864
USER	AceptarLocal	515	START	1590567676864	1590567676864
USER	CrearValoracion	113	START	1590567676864	1590567676864
USER	AceptarLocal	517	START	1590567676865	1590567676865
USER	CrearValoracion	112	START	1590567676864	1590567676864
REQUEST	515		Home	1590567676865	1590567676870	OK	 
REQUEST	110		Home	1590567676865	1590567676870	OK	 
REQUEST	111		Home	1590567676865	1590567676870	OK	 
REQUEST	113		Home	1590567676865	1590567676870	OK	 
REQUEST	516		Home	1590567676865	1590567676870	OK	 
REQUEST	112		Home	1590567676867	1590567676872	OK	 
REQUEST	514		Home	1590567676865	1590567676872	OK	 
REQUEST	517		Home	1590567676867	1590567676872	OK	 
USER	AceptarLocal	518	START	1590567676880	1590567676880
USER	CrearValoracion	114	START	1590567676880	1590567676880
USER	CrearValoracion	115	START	1590567676880	1590567676880
USER	AceptarLocal	519	START	1590567676880	1590567676880
USER	AceptarLocal	520	START	1590567676881	1590567676881
USER	CrearValoracion	116	START	1590567676881	1590567676881
USER	AceptarLocal	521	START	1590567676881	1590567676881
USER	CrearValoracion	117	START	1590567676881	1590567676881
REQUEST	115		Home	1590567676880	1590567676884	OK	 
REQUEST	518		Home	1590567676880	1590567676885	OK	 
REQUEST	519		Home	1590567676880	1590567676886	OK	 
REQUEST	520		Home	1590567676882	1590567676887	OK	 
REQUEST	117		Home	1590567676882	1590567676887	OK	 
REQUEST	521		Home	1590567676882	1590567676887	OK	 
REQUEST	114		Home	1590567676880	1590567676887	OK	 
REQUEST	116		Home	1590567676882	1590567676888	OK	 
USER	AceptarLocal	523	START	1590567676895	1590567676895
USER	AceptarLocal	522	START	1590567676895	1590567676895
USER	CrearValoracion	119	START	1590567676895	1590567676895
USER	CrearValoracion	118	START	1590567676895	1590567676895
REQUEST	523		Home	1590567676896	1590567676899	OK	 
REQUEST	118		Home	1590567676896	1590567676899	OK	 
REQUEST	119		Home	1590567676896	1590567676899	OK	 
REQUEST	522		Home	1590567676896	1590567676899	OK	 
