ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183478526	 	3.3.1
REQUEST	201		Welcome	1590183484101	1590183484112	OK	 
USER	AceptarAnuncioTestNegativo	202	START	1590183484146	1590183484146
USER	AceptarAnuncioTestPositivo	176	START	1590183484146	1590183484146
REQUEST	202		Welcome	1590183484147	1590183484153	OK	 
REQUEST	176		Welcome	1590183484147	1590183484153	OK	 
USER	AceptarAnuncioTestNegativo	203	START	1590183484183	1590183484183
REQUEST	203		Welcome	1590183484184	1590183484200	OK	 
USER	AceptarAnuncioTestNegativo	204	START	1590183484224	1590183484224
REQUEST	204		Welcome	1590183484224	1590183484231	OK	 
USER	AceptarAnuncioTestPositivo	177	START	1590183484183	1590183484183
USER	AceptarAnuncioTestNegativo	230	START	1590183484269	1590183484269
REQUEST	177		Welcome	1590183484267	1590183484273	OK	 
USER	AceptarAnuncioTestPositivo	205	START	1590183484275	1590183484275
REQUEST	230		Welcome	1590183484270	1590183484280	OK	 
REQUEST	205		Welcome	1590183484275	1590183484287	OK	 
