ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.BuscarLocalTestDiagnosis	buscarlocaltestdiagnosis	1590161608069	 	3.3.1
USER	BuscarLocalPositivoTest	166	START	1590161612448	1590161612448
REQUEST	166		Welcome	1590161612449	1590161612453	OK	 
REQUEST	200		Welcome	1590161612449	1590161612453	OK	 
USER	BuscarLocalNegativoTest	201	START	1590161612481	1590161612481
USER	BuscarLocalPositivoTest	167	START	1590161612481	1590161612481
REQUEST	201		Welcome	1590161612482	1590161612486	OK	 
REQUEST	167		Welcome	1590161612482	1590161612486	OK	 
USER	BuscarLocalNegativoTest	202	START	1590161612506	1590161612506
USER	BuscarLocalPositivoTest	168	START	1590161612506	1590161612506
REQUEST	202		Welcome	1590161612507	1590161612511	OK	 
REQUEST	168		Welcome	1590161612507	1590161612511	OK	 
USER	BuscarLocalNegativoTest	203	START	1590161612539	1590161612539
REQUEST	203		Welcome	1590161612540	1590161612545	OK	 
USER	BuscarLocalPositivoTest	170	START	1590161612566	1590161612566
REQUEST	170		Welcome	1590161612567	1590161612575	OK	 
USER	BuscarLocalPositivoTest	169	START	1590161612539	1590161612539
REQUEST	169		Welcome	1590161612583	1590161612590	OK	 
USER	BuscarLocalPositivoTest	171	START	1590161612596	1590161612596
USER	BuscarLocalNegativoTest	205	START	1590161612596	1590161612596
REQUEST	171		Welcome	1590161612596	1590161612603	OK	 
REQUEST	205		Welcome	1590161612596	1590161612608	OK	 
USER	BuscarLocalNegativoTest	206	START	1590161612616	1590161612616
REQUEST	206		Welcome	1590161612617	1590161612622	OK	 
USER	BuscarLocalNegativoTest	204	START	1590161612571	1590161612571
USER	BuscarLocalPositivoTest	172	START	1590161612631	1590161612631
REQUEST	204		Welcome	1590161612628	1590161612634	OK	 
REQUEST	172		Welcome	1590161612632	1590161612636	OK	 
USER	BuscarLocalNegativoTest	207	START	1590161612647	1590161612647
USER	BuscarLocalPositivoTest	173	START	1590161612647	1590161612647
REQUEST	207		Welcome	1590161612648	1590161612651	OK	 
REQUEST	173		Welcome	1590161612648	1590161612651	OK	 
USER	BuscarLocalNegativoTest	208	START	1590161612677	1590161612677
USER	BuscarLocalPositivoTest	174	START	1590161612677	1590161612677
REQUEST	174		Welcome	1590161612677	1590161612681	OK	 
REQUEST	208		Welcome	1590161612677	1590161612681	OK	 
USER	BuscarLocalPositivoTest	175	START	1590161612710	1590161612710
USER	BuscarLocalNegativoTest	209	START	1590161612710	1590161612710
REQUEST	209		Welcome	1590161612710	1590161612714	OK	 
REQUEST	175		Welcome	1590161612710	1590161612714	OK	 
USER	BuscarLocalNegativoTest	210	START	1590161612736	1590161612736
USER	BuscarLocalPositivoTest	176	START	1590161612736	1590161612736
REQUEST	210		Welcome	1590161612736	1590161612741	OK	 
REQUEST	176		Welcome	1590161612736	1590161612741	OK	 
USER	BuscarLocalNegativoTest	211	START	1590161612768	1590161612768
USER	BuscarLocalPositivoTest	177	START	1590161612768	1590161612768
REQUEST	211		Welcome	1590161612769	1590161612773	OK	 
REQUEST	177		Welcome	1590161612769	1590161612773	OK	 
USER	BuscarLocalPositivoTest	178	START	1590161612797	1590161612797
USER	BuscarLocalNegativoTest	212	START	1590161612797	1590161612797
