ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590262739038	 	3.3.1
REQUEST	10		jquery.min.js	1590262740842	1590262740850	OK	 
REQUEST	10		bootstrap.min.js	1590262740848	1590262740851	OK	 
REQUEST	30		jquery.min.js	1590262740728	1590262740875	OK	 
REQUEST	9		jquery.min.js	1590262740740	1590262740900	OK	 
USER	VerFiestasQueAsistoNegativo	32	START	1590262740926	1590262740926
REQUEST	32		Home	1590262740927	1590262740930	OK	 
REQUEST	32		favicon.png	1590262740932	1590262740935	OK	 
USER	VerFiestasQueAsistoPositivo	11	START	1590262740937	1590262740937
REQUEST	32		jquery-ui.theme.min.css	1590262740933	1590262740938	OK	 
REQUEST	32		petclinic.css	1590262740933	1590262740939	OK	 
REQUEST	32		jquery-ui.min.css	1590262740933	1590262740941	OK	 
REQUEST	32		spring-pivotal-logo.png	1590262740933	1590262740942	OK	 
REQUEST	11		Home	1590262740938	1590262740942	OK	 
REQUEST	32		jquery.min.js	1590262740934	1590262740943	OK	 
REQUEST	32		jquery-ui.min.js	1590262740935	1590262740943	OK	 
REQUEST	32		bootstrap.min.js	1590262740939	1590262740944	OK	 
REQUEST	11		favicon.png	1590262740945	1590262740947	OK	 
REQUEST	11		spring-pivotal-logo.png	1590262740946	1590262740951	OK	 
REQUEST	11		petclinic.css	1590262740945	1590262740952	OK	 
REQUEST	11		jquery-ui.min.css	1590262740945	1590262740953	OK	 
REQUEST	11		jquery-ui.theme.min.css	1590262740946	1590262740953	OK	 
REQUEST	11		jquery.min.js	1590262740946	1590262740954	OK	 
REQUEST	11		jquery-ui.min.js	1590262740947	1590262740955	OK	 
REQUEST	11		bootstrap.min.js	1590262740951	1590262740955	OK	 
REQUEST	31		jquery.min.js	1590262740829	1590262740965	OK	 
REQUEST	10		jquery.min.js	1590262740840	1590262740976	OK	 
USER	VerFiestasQueAsistoNegativo	33	START	1590262741025	1590262741025
REQUEST	33		Home	1590262741026	1590262741030	OK	 
REQUEST	33		favicon.png	1590262741032	1590262741035	OK	 
USER	VerFiestasQueAsistoPositivo	12	START	1590262741036	1590262741036
REQUEST	33		spring-pivotal-logo.png	1590262741033	1590262741038	OK	 
REQUEST	33		petclinic.css	1590262741032	1590262741040	OK	 
REQUEST	33		jquery-ui.min.css	1590262741033	1590262741041	OK	 
REQUEST	33		jquery-ui.theme.min.css	1590262741033	1590262741042	OK	 
REQUEST	12		Home	1590262741037	1590262741043	OK	 
REQUEST	33		jquery.min.js	1590262741034	1590262741043	OK	 
REQUEST	33		jquery-ui.min.js	1590262741035	1590262741044	OK	 
REQUEST	33		bootstrap.min.js	1590262741039	1590262741044	OK	 
REQUEST	12		favicon.png	1590262741053	1590262741055	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590262741054	1590262741058	OK	 
REQUEST	12		spring-pivotal-logo.png	1590262741054	1590262741059	OK	 
REQUEST	12		petclinic.css	1590262741053	1590262741060	OK	 
REQUEST	12		jquery-ui.min.css	1590262741053	1590262741061	OK	 
REQUEST	12		jquery.min.js	1590262741054	1590262741061	OK	 
REQUEST	12		jquery-ui.min.js	1590262741055	1590262741061	OK	 
REQUEST	12		bootstrap.min.js	1590262741059	1590262741062	OK	 
REQUEST	32		jquery.min.js	1590262740932	1590262741073	OK	 
REQUEST	11		jquery.min.js	1590262740944	1590262741112	OK	 
USER	VerFiestasQueAsistoNegativo	34	START	1590262741125	1590262741125
REQUEST	34		Home	1590262741126	1590262741129	OK	 
REQUEST	34		favicon.png	1590262741131	1590262741133	OK	 
REQUEST	34		spring-pivotal-logo.png	1590262741132	1590262741137	OK	 
USER	VerFiestasQueAsistoPositivo	13	START	1590262741136	1590262741136
