ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarORechazarFiesta	aceptarorechazarfiesta	1590562783700	 	3.3.1
USER	AceptarFiesta	124	START	1590562785703	1590562785703
USER	DenegarFiesta	527	START	1590562785704	1590562785704
USER	DenegarFiesta	528	START	1590562785704	1590562785704
REQUEST	446		Home	1590562785347	1590562785708	OK	 
REQUEST	481		Home	1590562785464	1590562785708	OK	 
REQUEST	69		Home	1590562785449	1590562785708	OK	 
REQUEST	75		Home	1590562785460	1590562785710	OK	 
REQUEST	480		Home	1590562785461	1590562785710	OK	 
REQUEST	458		Home	1590562785408	1590562785711	OK	 
USER	AceptarFiesta	126	START	1590562785712	1590562785712
USER	DenegarFiesta	530	START	1590562785712	1590562785712
USER	DenegarFiesta	529	START	1590562785712	1590562785712
REQUEST	72		Home	1590562785454	1590562785714	OK	 
REQUEST	430		Home	1590562785205	1590562785716	OK	 
REQUEST	472		Home	1590562785447	1590562785716	OK	 
REQUEST	46		Home	1590562785322	1590562785718	OK	 
REQUEST	44		Home	1590562785330	1590562785719	OK	 
REQUEST	123		Home	1590562785698	1590562785720	OK	 
REQUEST	30		Home	1590562785280	1590562785720	OK	 
REQUEST	470		Home	1590562785408	1590562785722	OK	 
USER	DenegarFiesta	531	START	1590562785723	1590562785723
USER	DenegarFiesta	532	START	1590562785723	1590562785723
USER	AceptarFiesta	127	START	1590562785721	1590562785721
REQUEST	456		Home	1590562785339	1590562785726	OK	 
REQUEST	63		Home	1590562785405	1590562785726	OK	 
REQUEST	76		Home	1590562785463	1590562785729	OK	 
REQUEST	462		Home	1590562785359	1590562785730	OK	 
REQUEST	444		Home	1590562785285	1590562785731	OK	 
USER	DenegarFiesta	534	START	1590562785735	1590562785735
USER	AceptarFiesta	128	START	1590562785735	1590562785735
USER	AceptarFiesta	131	START	1590562785737	1590562785737
USER	AceptarFiesta	130	START	1590562785737	1590562785737
USER	DenegarFiesta	535	START	1590562785738	1590562785738
USER	DenegarFiesta	536	START	1590562785738	1590562785738
USER	DenegarFiesta	533	START	1590562785735	1590562785735
USER	AceptarFiesta	129	START	1590562785735	1590562785735
USER	AceptarFiesta	132	START	1590562785767	1590562785767
USER	AceptarFiesta	134	START	1590562785770	1590562785770
USER	DenegarFiesta	537	START	1590562785767	1590562785767
USER	DenegarFiesta	538	START	1590562785767	1590562785767
USER	AceptarFiesta	133	START	1590562785767	1590562785767
