ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257138182	 	3.3.1
USER	AceptarLocalTestPositivo	175	START	1590257144033	1590257144033
USER	AceptarLocalTestNegativo	195	START	1590257144033	1590257144033
REQUEST	175		Welcome	1590257144034	1590257144040	OK	 
REQUEST	195		Welcome	1590257144034	1590257144040	OK	 
USER	AceptarLocalTestPositivo	176	START	1590257144093	1590257144093
USER	AceptarLocalTestNegativo	196	START	1590257144093	1590257144093
REQUEST	176		Welcome	1590257144094	1590257144100	OK	 
REQUEST	196		Welcome	1590257144094	1590257144100	OK	 
USER	AceptarLocalTestNegativo	197	START	1590257144128	1590257144128
USER	AceptarLocalTestPositivo	177	START	1590257144128	1590257144128
REQUEST	177		Welcome	1590257144129	1590257144135	OK	 
REQUEST	197		Welcome	1590257144129	1590257144135	OK	 
USER	AceptarLocalTestPositivo	178	START	1590257144186	1590257144186
USER	AceptarLocalTestNegativo	198	START	1590257144186	1590257144186
REQUEST	198		Welcome	1590257144187	1590257144192	OK	 
REQUEST	178		Welcome	1590257144187	1590257144192	OK	 
USER	AceptarLocalTestNegativo	199	START	1590257144233	1590257144233
USER	AceptarLocalTestPositivo	179	START	1590257144233	1590257144233
REQUEST	179		Welcome	1590257144234	1590257144237	OK	 
REQUEST	199		Welcome	1590257144234	1590257144237	OK	 
USER	AceptarLocalTestNegativo	200	START	1590257144280	1590257144280
USER	AceptarLocalTestPositivo	180	START	1590257144280	1590257144280
REQUEST	200		Welcome	1590257144283	1590257144290	OK	 
REQUEST	180		Welcome	1590257144283	1590257144292	OK	 
USER	AceptarLocalTestPositivo	181	START	1590257144328	1590257144328
USER	AceptarLocalTestNegativo	201	START	1590257144328	1590257144328
REQUEST	181		Welcome	1590257144328	1590257144333	OK	 
REQUEST	201		Welcome	1590257144328	1590257144333	OK	 
USER	AceptarLocalTestPositivo	182	START	1590257144378	1590257144378
USER	AceptarLocalTestNegativo	202	START	1590257144378	1590257144378
REQUEST	182		Welcome	1590257144378	1590257144382	OK	 
REQUEST	202		Welcome	1590257144378	1590257144382	OK	 
USER	AceptarLocalTestPositivo	203	START	1590257144431	1590257144431
USER	AceptarLocalTestNegativo	223	START	1590257144431	1590257144431
REQUEST	203		Welcome	1590257144431	1590257144434	OK	 
REQUEST	223		Welcome	1590257144431	1590257144434	OK	 
USER	AceptarLocalTestPositivo	204	START	1590257144479	1590257144479
USER	AceptarLocalTestNegativo	224	START	1590257144479	1590257144479
REQUEST	204		Welcome	1590257144479	1590257144482	OK	 
REQUEST	224		Welcome	1590257144479	1590257144482	OK	 
USER	AceptarLocalTestNegativo	225	START	1590257144528	1590257144528
USER	AceptarLocalTestPositivo	205	START	1590257144528	1590257144528
REQUEST	225		Welcome	1590257144529	1590257144535	OK	 
REQUEST	205		Welcome	1590257144529	1590257144535	OK	 
USER	AceptarLocalTestPositivo	206	START	1590257144581	1590257144581
USER	AceptarLocalTestNegativo	226	START	1590257144581	1590257144581
REQUEST	226		Welcome	1590257144582	1590257144588	OK	 
REQUEST	206		Welcome	1590257144582	1590257144588	OK	 
USER	AceptarLocalTestPositivo	207	START	1590257144628	1590257144628
USER	AceptarLocalTestNegativo	227	START	1590257144628	1590257144628
REQUEST	207		Welcome	1590257144628	1590257144631	OK	 
REQUEST	227		Welcome	1590257144628	1590257144632	OK	 
