ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
USER	CrearAnuncioTestNegativo	178	START	1590177277853	1590177277853
REQUEST	178		Welcome	1590177277853	1590177277857	OK	 
USER	CrearAnuncioTestPositivo	153	START	1590177277858	1590177277858
REQUEST	153		Welcome	1590177277859	1590177277862	OK	 
USER	CrearAnuncioTestNegativo	179	START	1590177277888	1590177277888
REQUEST	179		Welcome	1590177277888	1590177277891	OK	 
USER	CrearAnuncioTestPositivo	154	START	1590177277899	1590177277899
REQUEST	154		Welcome	1590177277900	1590177277903	OK	 
USER	CrearAnuncioTestNegativo	180	START	1590177277930	1590177277930
REQUEST	180		Welcome	1590177277931	1590177277934	OK	 
USER	CrearAnuncioTestPositivo	155	START	1590177277951	1590177277951
REQUEST	155		Welcome	1590177277952	1590177277955	OK	 
USER	CrearAnuncioTestNegativo	181	START	1590177277968	1590177277968
REQUEST	181		Welcome	1590177277968	1590177277971	OK	 
USER	CrearAnuncioTestPositivo	156	START	1590177277983	1590177277983
REQUEST	156		Welcome	1590177277983	1590177277986	OK	 
USER	CrearAnuncioTestNegativo	182	START	1590177278014	1590177278014
REQUEST	182		Welcome	1590177278014	1590177278018	OK	 
USER	CrearAnuncioTestPositivo	157	START	1590177278018	1590177278018
REQUEST	157		Welcome	1590177278018	1590177278021	OK	 
USER	CrearAnuncioTestNegativo	183	START	1590177278048	1590177278048
REQUEST	183		Welcome	1590177278048	1590177278051	OK	 
USER	CrearAnuncioTestPositivo	158	START	1590177278061	1590177278061
REQUEST	158		Welcome	1590177278061	1590177278064	OK	 
USER	CrearAnuncioTestNegativo	184	START	1590177278092	1590177278092
REQUEST	184		Welcome	1590177278092	1590177278095	OK	 
USER	CrearAnuncioTestPositivo	159	START	1590177278107	1590177278107
REQUEST	159		Welcome	1590177278108	1590177278110	OK	 
USER	CrearAnuncioTestNegativo	185	START	1590177278128	1590177278128
REQUEST	185		Welcome	1590177278128	1590177278131	OK	 
USER	CrearAnuncioTestPositivo	160	START	1590177278139	1590177278139
REQUEST	160		Welcome	1590177278139	1590177278143	OK	 
USER	CrearAnuncioTestNegativo	186	START	1590177278170	1590177278170
REQUEST	186		Welcome	1590177278170	1590177278173	OK	 
USER	CrearAnuncioTestPositivo	161	START	1590177278186	1590177278186
REQUEST	161		Welcome	1590177278186	1590177278189	OK	 
USER	CrearAnuncioTestNegativo	187	START	1590177278217	1590177278217
USER	CrearAnuncioTestPositivo	162	START	1590177278218	1590177278218
REQUEST	187		Welcome	1590177278217	1590177278221	OK	 
REQUEST	162		Welcome	1590177278218	1590177278221	OK	 
USER	CrearAnuncioTestNegativo	188	START	1590177278248	1590177278248
REQUEST	188		Welcome	1590177278249	1590177278252	OK	 
USER	CrearAnuncioTestPositivo	163	START	1590177278264	1590177278264
REQUEST	163		Welcome	1590177278264	1590177278267	OK	 
USER	CrearAnuncioTestNegativo	189	START	1590177278295	1590177278295
USER	CrearAnuncioTestPositivo	164	START	1590177278298	1590177278298
REQUEST	189		Welcome	1590177278296	1590177278299	OK	 
REQUEST	164		Welcome	1590177278299	1590177278302	OK	 
USER	CrearAnuncioTestNegativo	190	START	1590177278328	1590177278328
REQUEST	190		Welcome	1590177278328	1590177278331	OK	 
USER	CrearAnuncioTestPositivo	165	START	1590177278342	1590177278342
REQUEST	165		Welcome	1590177278342	1590177278345	OK	 
USER	CrearAnuncioTestNegativo	191	START	1590177278373	1590177278373
REQUEST	191		Welcome	1590177278374	1590177278377	OK	 
USER	CrearAnuncioTestPositivo	166	START	1590177278378	1590177278378
REQUEST	166		Welcome	1590177278378	1590177278381	OK	 
USER	CrearAnuncioTestNegativo	192	START	1590177278408	1590177278408
REQUEST	192		Welcome	1590177278408	1590177278411	OK	 
USER	CrearAnuncioTestPositivo	167	START	1590177278420	1590177278420
REQUEST	167		Welcome	1590177278420	1590177278423	OK	 
USER	CrearAnuncioTestNegativo	193	START	1590177278451	1590177278451
